City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,smithers,54.7804,-127.1743,1.18,80,20,3.6,CA,1741667371
343,grand falls-windsor,48.9332,-55.6649,-6.39,80,100,0.89,CA,1741667372
344,ataq,14.5377,46.8319,17.98,76,5,3.99,YE,1741667373
345,alice springs,-23.7,133.8833,37.75,13,68,7.2,AU,1741667375
346,dhidhdhoo,6.8833,73.1,28.03,68,86,0.96,MV,1741667376
347,kotor varos,44.6169,17.3717,10.6,96,100,1.4,BA,1741667377
348,quellon,-43.1167,-73.6167,8.72,76,97,3.27,CL,1741667378
349,sydney,-33.8679,151.2073,22.61,81,75,7.2,AU,1741667113
350,saskatoon,52.1168,-106.6345,-10.01,79,100,2.06,CA,1741667327
351,verkhnevilyuysk,63.4453,120.3167,-19.32,90,99,1.72,RU,1741667381
352,mahibadhoo,3.7833,72.9667,28.12,74,41,3.42,MV,1741667383
353,serhiyivka,46.0272,30.3768,6.71,88,100,5.73,UA,1741667384
354,dakhla,23.6848,-15.958,17.35,80,0,3.64,EH,1741667385
355,chatra,24.2167,84.8667,29.35,12,0,1.95,IN,1741667386
356,alvaraes,-3.2208,-64.8042,23.07,99,77,0.69,BR,1741667387
357,farafangana,-22.8167,47.8333,24.43,87,41,0.5,MG,1741667388
358,shevchenkove,49.6959,37.1735,3.74,92,80,3.34,UA,1741667390
359,tofol,5.3248,163.0078,28.88,79,75,6.17,FM,1741667391
360,guane,22.2025,-84.0875,22.9,74,51,4.32,CU,1741667392
361,bereznik,62.8551,42.7072,-6.97,93,100,4.3,RU,1741667393
362,suong,11.9115,105.6533,33.48,44,90,1.4,KH,1741667394
363,merizo village,13.2658,144.6691,30.32,79,12,7.81,GU,1741667395
364,tazovsky,67.4667,78.7,-27.59,92,98,2.14,RU,1741667396
365,the bottom,17.6259,-63.2492,24.01,69,0,7.54,BQ,1741667398
366,weno,7.4515,151.8468,29.97,79,75,3.09,FM,1741667399
367,selkirk,50.1436,-96.8845,-16.57,66,50,1.79,CA,1741667400
368,lihue,21.9789,-159.3672,22.77,73,20,8.23,US,1741667401
369,wotho,10.1657,166.0102,27.2,78,32,7.81,MH,1741667402
370,high river,50.5834,-113.8687,-0.38,67,95,0.73,CA,1741667373
371,iwanai,42.9744,140.5089,7.8,64,100,3.87,JP,1741667404
372,vadso,70.0744,29.7487,-8.91,79,20,3.6,NO,1741667405
373,mbandaka,0.0487,18.2603,23.28,75,88,1.43,CD,1741667407
374,bikenibeu village,1.3673,173.1241,28.98,79,40,4.63,KI,1741667408
375,gordonvale,-17.0936,145.7842,27.88,68,51,2.16,AU,1741667409
376,kpandu,6.9954,0.2931,26.6,83,100,2.05,GH,1741667410
377,santander,43.4647,-3.8044,11.92,81,100,1.34,ES,1741667412
378,gao,16.6362,1.637,26.81,17,6,2.25,ML,1741667413
379,rzhaksa,52.1338,42.0264,3.7,84,100,4.56,RU,1741667414
380,piana degli albanesi,37.998,13.2797,12.07,81,58,2.89,IT,1741667415
381,gaspe,48.8334,-64.4819,-11.88,79,0,1.03,CA,1741667269
382,arraial do cabo,-22.9661,-42.0278,24.53,87,61,3.45,BR,1741667417
383,gizo,-8.103,156.8419,28.83,70,17,1.62,SB,1741667418
384,havelock,34.8791,-76.9013,13.99,95,100,9.77,US,1741667419
385,porbandar,21.6422,69.6093,32.99,33,2,1.03,IN,1741667421
386,port-cartier,50.0334,-66.8654,-17.18,96,10,2.61,CA,1741667215
387,bredene,51.2334,2.9804,7.35,91,75,5.66,BE,1741667423
388,kaoma,-14.7833,24.8,18.84,97,100,1.14,ZM,1741667424
389,san salvador de jujuy,-24.1946,-65.2971,15.74,96,95,0.66,AR,1741667221
390,soe,-9.8607,124.284,25.48,77,95,1.59,ID,1741667426
391,hastings,50.8552,0.5729,7.1,87,100,9.95,GB,1741667427
392,vorkuta,67.5,64.0,-20.93,100,97,2.69,RU,1741667428
393,lucea,18.451,-78.1736,24.92,83,10,1.7,JM,1741667430
394,sirte,31.2089,16.5887,20.53,36,45,8.12,LY,1741667431
395,santa isabel,-23.3156,-46.2214,22.61,98,100,0.43,BR,1741667432
396,pisco,-13.7,-76.2167,21.03,88,50,0.51,PE,1741667433
397,esperanza,19.5847,-70.9849,23.5,87,15,0.45,DO,1741667435
398,remire-montjoly,4.9167,-52.2667,25.02,94,20,1.03,GF,1741667436
399,al qubbah,32.7616,22.2424,12.6,65,12,6.69,LY,1741667437
400,idri,27.5,13.2667,19.92,29,63,2.87,LY,1741667438
401,hadibu,12.65,54.0333,26.36,55,2,3.51,YE,1741667439
402,santo antonio,-6.3106,-35.4789,23.44,84,66,4.0,BR,1741667409
403,shinyanga,-3.6667,33.4333,19.08,88,100,2.27,TZ,1741667441
404,grand-lahou,5.1367,-5.0242,26.24,92,100,3.63,CI,1741667442
405,mabaruma,8.2,-59.7833,21.41,100,52,0.4,GY,1741667444
406,caraubas,-5.7925,-37.5567,23.77,86,94,2.21,BR,1741667445
407,makhambet,47.6667,51.5833,3.51,65,95,4.16,KZ,1741667446
408,trenggalek,-8.05,111.7167,32.02,57,86,0.42,ID,1741667447
409,mooloolaba,-26.6833,153.1167,27.81,75,94,0.45,AU,1741667448
410,buka,40.8108,69.1986,13.36,53,100,1.21,UZ,1741667449
411,jiwani,25.05,61.7417,25.82,61,82,2.94,PK,1741667450
412,cox's bazar,21.4532,91.9798,30.6,27,9,3.77,BD,1741667242
413,porto novo,6.4965,2.6036,27.21,88,96,2.84,BJ,1741667453
414,salalah,17.0151,54.0924,23.05,53,20,1.03,OM,1741667454
415,az zubayr,30.3945,47.7011,13.92,77,40,3.09,IQ,1741667455
416,harrisburg,40.2737,-76.8844,9.78,59,0,2.06,US,1741667426
417,acapulco de juarez,16.8634,-99.8901,26.9,83,0,2.57,MX,1741667395
418,amahai,-3.3333,128.9167,30.43,64,81,3.09,ID,1741667458
419,dryden,49.7833,-92.7503,-10.84,67,100,6.69,CA,1741667459
420,aykhal,66.0,111.5,-19.52,78,100,3.22,RU,1741667461
421,kagizman,40.1567,43.1342,2.71,84,11,2.16,TR,1741667462
422,kaa-khem,51.6833,94.7333,-7.66,87,97,1.24,RU,1741667463
423,crane,31.3974,-102.3501,14.78,18,0,6.84,US,1741667464
424,okhotsk,59.3833,143.3,-14.76,66,63,1.7,RU,1741667465
425,nelidovo,56.2211,32.7774,4.47,84,100,3.66,RU,1741667466
426,vila franca do campo,37.7167,-25.4333,18.27,99,94,4.43,PT,1741667467
427,marang,5.2056,103.2059,30.95,70,42,2.63,MY,1741667468
428,mckinleyville,40.9465,-124.1006,8.98,96,0,2.57,US,1741667295
429,geneina,13.45,22.45,18.95,22,46,6.88,SD,1741667471
430,santa terezinha,-29.9002,-50.0904,20.39,74,2,3.86,BR,1741667412
431,highfields,-27.4518,151.9463,18.53,97,98,4.88,AU,1741667473
432,mount pearl,47.5166,-52.7813,-3.36,71,75,6.17,CA,1741667474
433,mokhsogollokh,61.4681,128.9203,-17.64,84,100,2.65,RU,1741667475
434,antoing,50.556,3.4653,6.8,51,100,2.95,BE,1741667477
435,preobrazheniye,42.9019,133.9064,9.44,55,69,5.0,RU,1741667478
436,ubari,26.5921,12.7805,21.85,38,92,3.15,LY,1741667479
437,rio san juan,19.6439,-70.0763,22.47,90,0,2.79,DO,1741667480
438,concepcion,-36.827,-73.0498,12.89,76,0,6.17,CL,1741666884
439,terbanggi besar,-4.8667,105.2333,31.15,64,98,3.47,ID,1741667482
440,sola,-13.8833,167.55,26.54,82,100,5.01,VU,1741667484
441,lebu,-37.6167,-73.65,12.01,90,84,7.09,CL,1741667485
442,ulsteinvik,62.3432,5.8487,1.28,81,94,4.21,NO,1741667486
443,namtsy,62.7161,129.6658,-17.78,83,77,2.64,RU,1741667487
444,happy valley-goose bay,53.3168,-60.3315,-16.83,66,0,2.57,CA,1741667410
445,lazaro cardenas,17.9583,-102.2,24.24,78,13,0.85,MX,1741667489
446,aljezur,37.3191,-8.8033,12.77,90,15,8.1,PT,1741667490
447,poronaysk,49.2167,143.1167,2.22,96,95,3.61,RU,1741667492
448,madingou,-4.1536,13.55,22.67,95,73,1.17,CG,1741667493
449,pfaffenhofen an der ilm,48.5284,11.502,1.45,92,20,2.71,DE,1741667494
450,novosokol'niki,56.3463,30.1578,3.9,91,100,2.86,RU,1741667495
451,puerto el triunfo,13.2833,-88.55,26.29,82,83,1.67,SV,1741667496
452,ulety,51.3572,112.4849,-0.48,66,100,4.97,RU,1741667497
453,punta del este,-34.9667,-54.95,19.37,69,0,2.24,UY,1741667498
454,amos,48.5669,-78.1162,-0.72,89,100,6.62,CA,1741667402
455,ola,59.5833,151.2833,-15.49,66,0,1.03,RU,1741667501
456,yigo village,13.5361,144.8886,29.62,70,75,8.75,GU,1741667502
457,coquimbo,-29.9533,-71.3436,15.85,88,0,2.06,CL,1741667503
458,belyy yar,53.6039,91.3903,-6.06,63,0,4.0,RU,1741667504
459,bechar,31.6167,-2.2167,10.18,57,0,1.54,DZ,1741667505
460,pyhajarvi,67.0701,27.2176,-12.61,100,100,1.54,FI,1741667506
461,crespo,-32.0287,-60.3066,17.86,54,0,2.47,AR,1741667508
462,minas de marcona,-15.2119,-75.1103,17.08,81,55,3.71,PE,1741667509
463,bubaque,11.2833,-15.8333,24.09,69,8,5.47,GW,1741667510
464,bontang,0.1333,117.5,27.65,75,89,3.32,ID,1741667511
465,ibi,38.6253,-0.5723,10.6,71,67,1.68,ES,1741667512
466,dampit,-8.2116,112.7493,32.61,49,84,2.31,ID,1741667513
467,ust-nera,64.5667,143.2,-22.58,89,94,2.03,RU,1741667514
468,fortuna,40.5982,-124.1573,9.43,91,20,3.09,US,1741667516
469,odienne,9.51,-7.5692,23.1,85,84,1.66,CI,1741667517
470,nizhnyaya tavda,57.6731,66.1725,-12.88,93,100,1.28,RU,1741667518
471,la ronge,55.1001,-105.2842,-18.86,55,75,2.06,CA,1741667519
472,mobaye,4.319,21.1786,23.92,50,68,1.1,CF,1741667520
473,murun-kuren,49.6342,100.1625,-4.61,40,99,4.77,MN,1741667521
474,bardai,11.65,7.2333,25.3,21,60,3.51,NG,1741667523
475,illapel,-31.6308,-71.1653,18.03,61,0,0.37,CL,1741667431
476,ribeira brava,32.65,-17.0667,17.78,85,71,5.31,PT,1741667525
477,nar'yan-mar,67.6713,53.087,-8.16,95,100,4.11,RU,1741667526
478,de aar,-30.6497,24.0123,17.86,67,0,3.05,ZA,1741667527
479,margate,51.3813,1.3862,6.6,81,100,2.24,GB,1741667278
480,port blair,11.6667,92.75,30.02,79,40,4.12,IN,1741667530
481,sao gabriel da cachoeira,-0.1303,-67.0892,22.43,99,100,1.01,BR,1741667531
482,mount gambier,-37.8333,140.7667,34.15,26,93,4.3,AU,1741667532
483,kita,13.0349,-9.4895,27.24,27,15,1.11,ML,1741667533
484,debark',13.1561,37.8981,14.41,44,2,0.88,ET,1741667534
485,bonthe,7.5264,-12.505,23.31,93,100,2.04,SL,1741667535
486,kerikeri,-35.2268,173.9474,21.61,56,31,2.15,NZ,1741667536
487,fuyang,32.9,115.8167,18.49,55,99,2.04,CN,1741667538
488,biryusinsk,55.9634,97.8235,-5.71,73,95,3.05,RU,1741667539
489,mutuali,-14.8706,37.0044,20.88,99,100,2.31,MZ,1741667540
490,kingston,17.997,-76.7936,26.53,69,20,3.09,JM,1741667541
491,gadzhiyevo,69.2551,33.3362,-12.11,98,48,4.4,RU,1741667542
